행정구역,시군구,도서관수,장서수,2025년06월_계_총인구수,도서관 개당 인구수
부산,동구,15,291312,84653.0,5643.533333333334
부산,동래구,37,420150,274473.0,7418.189189189189
부산,부산진구,43,1336476,364707.0,8481.558139534884
부산,북구,24,784995,264872.0,11036.333333333334
부산,사상구,19,627411,196467.0,10340.368421052632
부산,사하구,31,514051,289432.0,9336.516129032258
부산,서구,22,230519,102581.0,4662.772727272727
부산,수영구,16,325084,170228.0,10639.25
부산,연제구,24,434398,211127.0,8796.958333333334
부산,영도구,19,350686,102509.0,5395.210526315789
부산,중구,7,347455,36999.0,5285.571428571428
부산,해운대구,56,1105419,374089.0,6680.160714285715
서울,강남구,39,1200173,556565.0,14270.897435897436
서울,강동구,51,1206267,498079.0,9766.254901960785
서울,강북구,44,633144,281288.0,6392.909090909091
서울,강서구,63,1250141,551899.0,8760.301587301587
서울,관악구,49,779933,479320.0,9782.040816326531
서울,광진구,32,691613,333096.0,10409.25
서울,구로구,65,1098620,386031.0,5938.9384615384615
서울,금천구,24,522907,224076.0,9336.5
서울,노원구,51,1001931,487216.0,9553.254901960785
서울,도봉구,43,982999,301554.0,7012.883720930233
서울,동대문구,40,847878,342354.0,8558.85
서울,동작구,46,609558,374777.0,8147.326086956522
서울,마포구,42,1093677,359622.0,8562.42857142857
서울,서대문구,26,674343,301034.0,11578.23076923077
서울,서초구,51,844717,407507.0,7990.333333333333
서울,성동구,35,749147,273195.0,7805.571428571428
서울,성북구,62,945635,424030.0,6839.193548387097
서울,송파구,74,1213243,646591.0,8737.716216216217
서울,양천구,41,943914,428045.0,10440.121951219513
서울,영등포구,43,732073,372863.0,8671.232558139534
서울,용산구,29,1070232,203127.0,7004.379310344828
서울,은평구,80,1103023,458762.0,5734.525
서울,종로구,29,1384708,138015.0,4759.137931034483
서울,중구,26,973938,119097.0,4580.653846153846
서울,중랑구,49,692205,377473.0,7703.530612244898
세종,세종시,16,942859,,
세종,세종특별자치시,64,438029,392223.0,6128.484375
울산,남구,46,998526,304268.0,6614.521739130435
울산,동구,23,453998,149976.0,6520.695652173913
울산,북구,51,676587,215780.0,4230.980392156863
울산,울주군,54,918859,218509.0,4046.462962962963
울산,중구,38,257017,205132.0,5398.210526315789
인천,강화군,12,176901,69562.0,5796.833333333333
인천,계양구,43,554818,277702.0,6458.186046511628
인천,남동구,68,1500832,482547.0,7096.279411764706
인천,동구,15,360553,57260.0,3817.3333333333335
인천,미추홀구,34,743853,416965.0,12263.676470588236
인천,부평구,41,1060182,493326.0,12032.341463414634
인천,서구,84,1281352,644376.0,7671.142857142857
인천,연수구,50,1063204,404791.0,8095.82
인천,옹진군,2,40746,19736.0,9868.0
인천,중구,19,393924,173185.0,9115.0
전남,강진군,7,154642,31876.0,4553.714285714285
전남,고흥군,9,343817,59898.0,6655.333333333333
전남,곡성군,11,170539,26613.0,2419.3636363636365
전남,광양시,38,626088,155317.0,4087.2894736842104
전남,구례군,5,99592,23927.0,4785.4
전남,나주시,31,663175,117215.0,3781.1290322580644
전남,담양군,6,125459,44384.0,7397.333333333333
전남,목포시,33,868445,206439.0,6255.727272727273
전남,무안군,33,604915,94103.0,2851.6060606060605
전남,보성군,7,202577,36846.0,5263.714285714285
전남,순천시,100,1200008,275352.0,2753.52
전남,신안군,10,92300,38996.0,3899.6
전남,여수시,48,1104781,265496.0,5531.166666666667
전남,영광군,5,221514,52882.0,10576.4
전남,영암군,20,420825,50789.0,2539.45
전남,완도군,11,266602,45108.0,4100.727272727273
전남,장성군,10,367896,42842.0,4284.2
전남,장흥군,3,166741,34290.0,11430.0
전남,진도군,9,193765,28323.0,3147.0
전남,함평군,9,131919,29733.0,3303.6666666666665
전남,해남군,10,212927,62557.0,6255.7
전남,화순군,15,231141,60498.0,4033.2
전북,고창군,14,304714,50631.0,3616.5
전북,군산시,54,900889,256614.0,4752.111111111111
전북,김제시,18,448463,81382.0,4521.222222222223
전북,남원시,30,412758,75011.0,2500.366666666667
전북,무주군,7,159941,22917.0,3273.8571428571427
전북,부안군,12,204338,47580.0,3965.0
전북,순창군,14,186653,26792.0,1913.7142857142858
전북,완주군,21,473655,100131.0,4768.142857142857
전북,익산시,58,1332582,267618.0,4614.103448275862
전북,임실군,11,174323,25401.0,2309.181818181818
전북,장수군,10,143195,20476.0,2047.6
전북,전주시,134,2126600,630274.0,4703.537313432836
전북,정읍시,22,555814,101240.0,4601.818181818182
전북,진안군,15,155941,24191.0,1612.7333333333333
제주,서귀포시,68,1233910,180541.0,2655.014705882353
제주,제주시,100,2085145,486084.0,4860.84
충남,계룡시,5,167304,46093.0,9218.6
충남,공주시,23,544506,100714.0,4378.869565217391
충남,금산군,18,356010,49340.0,2741.1111111111113
충남,논산시,23,436656,107525.0,4675.0
충남,당진시,40,610711,172524.0,4313.1
충남,보령시,43,467254,92746.0,2156.8837209302324
충남,부여군,22,194073,58874.0,2676.090909090909
충남,서산시,40,978889,173253.0,4331.325
충남,서천군,18,221856,47705.0,2650.277777777778
충남,아산시,75,983801,357122.0,4761.626666666667
충남,예산군,21,323177,78761.0,3750.5238095238096
충남,천안시,73,1891983,661967.0,9068.04109589041
충남,청양군,15,166114,29332.0,1955.4666666666667
충남,태안군,6,256813,59770.0,9961.666666666666
충남,홍성군,20,577956,100164.0,5008.2
충북,괴산군,14,116263,35968.0,2569.1428571428573
충북,단양군,3,199505,27061.0,9020.333333333334
충북,보은군,11,115937,30350.0,2759.090909090909
충북,영동군,16,218027,43050.0,2690.625
충북,옥천군,11,163395,48373.0,4397.545454545455
충북,음성군,33,339233,92422.0,2800.6666666666665
충북,제천시,26,754444,128437.0,4939.884615384615
충북,증평군,17,172001,37181.0,2187.1176470588234
충북,진천군,19,341965,85991.0,4525.8421052631575
충북,청주시,131,2799459,855340.0,6529.312977099236
충북,충주시,31,690290,206872.0,6673.290322580645
